team,rating,source,tier,notes
Kansas City Chiefs,1.9,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0261; Def EPA/play allowed: -0.0132; Net EPA/play: 0.0393; Games: 37; Generated: 2026-08-30 06:02 PM"
Tampa Bay Buccaneers,1.7,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0591; Def EPA/play allowed: 0.0253; Net EPA/play: 0.0338; Games: 35; Generated: 2026-08-30 06:02 PM"
Minnesota Vikings,1.5,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: -0.0652; Def EPA/play allowed: -0.0946; Net EPA/play: 0.0295; Games: 35; Generated: 2026-08-30 06:02 PM"
New England Patriots,1.1,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0065; Def EPA/play allowed: -0.014; Net EPA/play: 0.0205; Games: 38; Generated: 2026-08-30 06:02 PM"
Indianapolis Colts,0.4,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0113; Def EPA/play allowed: 0.0059; Net EPA/play: 0.0053; Games: 34; Generated: 2026-08-30 06:02 PM"
San Francisco 49ers,0.1,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0508; Def EPA/play allowed: 0.0525; Net EPA/play: -0.0018; Games: 36; Generated: 2026-08-30 06:02 PM"
Washington Commanders,-0.1,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0715; Def EPA/play allowed: 0.0761; Net EPA/play: -0.0046; Games: 37; Generated: 2026-08-30 06:02 PM"
Jacksonville Jaguars,-0.2,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0042; Def EPA/play allowed: 0.0124; Net EPA/play: -0.0082; Games: 35; Generated: 2026-08-30 06:02 PM"
Atlanta Falcons,-0.9,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0; Def EPA/play allowed: 0.0229; Net EPA/play: -0.0229; Games: 34; Generated: 2026-08-30 06:02 PM"
Chicago Bears,-1.0,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: -0.0013; Def EPA/play allowed: 0.0237; Net EPA/play: -0.025; Games: 36; Generated: 2026-08-30 06:02 PM"
Pittsburgh Steelers,-1.1,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: -0.0213; Def EPA/play allowed: 0.0057; Net EPA/play: -0.027; Games: 36; Generated: 2026-08-30 06:02 PM"
Cincinnati Bengals,-1.2,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0484; Def EPA/play allowed: 0.079; Net EPA/play: -0.0306; Games: 34; Generated: 2026-08-30 06:02 PM"
Arizona Cardinals,-1.3,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0347; Def EPA/play allowed: 0.0675; Net EPA/play: -0.0328; Games: 34; Generated: 2026-08-30 06:02 PM"
New Orleans Saints,-1.4,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: -0.0549; Def EPA/play allowed: -0.0207; Net EPA/play: -0.0342; Games: 34; Generated: 2026-08-30 06:02 PM"
Miami Dolphins,-2.4,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: -0.0261; Def EPA/play allowed: 0.0306; Net EPA/play: -0.0568; Games: 34; Generated: 2026-08-30 06:02 PM"
Dallas Cowboys,-5.3,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: 0.0004; Def EPA/play allowed: 0.1225; Net EPA/play: -0.1221; Games: 34; Generated: 2026-08-30 06:02 PM"
New York Giants,-5.4,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: -0.0526; Def EPA/play allowed: 0.071; Net EPA/play: -0.1237; Games: 34; Generated: 2026-08-30 06:02 PM"
Cleveland Browns,-6.0,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: -0.1834; Def EPA/play allowed: -0.046; Net EPA/play: -0.1374; Games: 34; Generated: 2026-08-30 06:02 PM"
New York Jets,-6.6,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: -0.0707; Def EPA/play allowed: 0.0795; Net EPA/play: -0.1501; Games: 34; Generated: 2026-08-30 06:02 PM"
Carolina Panthers,-7.7,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: -0.0652; Def EPA/play allowed: 0.1097; Net EPA/play: -0.1749; Games: 35; Generated: 2026-08-30 06:02 PM"
Las Vegas Raiders,-8.1,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: -0.1866; Def EPA/play allowed: -0.0023; Net EPA/play: -0.1843; Games: 34; Generated: 2026-08-30 06:02 PM"
Tennessee Titans,-8.6,nflverse EPA-derived team rating,Model,"Seasons: [2024, 2025]; Formula: offense EPA/play - defense EPA/play allowed, centered to league average, multiplied by 45.0; Off EPA/play: -0.1384; Def EPA/play allowed: 0.0563; Net EPA/play: -0.1947; Games: 34; Generated: 2026-08-30 06:02 PM"
